concentration,E/V
2e-05,-8.666e-05
2e-05,-8.70053e-05
2e-05,-8.73309e-05
2e-05,-8.76515e-05
2e-05,-8.80058e-05
2e-05,-8.8375e-05
2e-05,-8.87695e-05
2e-05,-8.91707e-05
2e-05,-8.95535e-05
2e-05,-8.99983e-05
2e-05,-9.0447e-05
2e-05,-9.08163e-05
2e-05,-9.12002e-05
2e-05,-6.96198e-05
2e-05,-5.05979e-05
2e-05,-4.18356e-05
2e-05,-3.60556e-05
2e-05,-3.66693e-05
2e-05,-3.33404e-05
2e-05,-3.06591e-05
2e-05,-2.84341e-05
2e-05,-2.70351e-05
2e-05,-2.54035e-05
2e-05,-2.39745e-05
2e-05,-2.26952e-05
2e-05,-2.15688e-05
2e-05,-2.05752e-05
2e-05,-1.96984e-05
2e-05,-1.88923e-05
2e-05,-1.80701e-05
2e-05,-1.74547e-05
2e-05,-1.6786e-05
2e-05,-1.59123e-05
2e-05,-1.539e-05
2e-05,-1.48676e-05
2e-05,-1.43803e-05
2e-05,-1.40566e-05
2e-05,-1.35211e-05
2e-05,-1.30613e-05
2e-05,-1.26467e-05
2e-05,-1.22503e-05
2e-05,-1.18734e-05
2e-05,-1.15507e-05
2e-05,-1.12189e-05
2e-05,-1.09104e-05
2e-05,-1.06128e-05
2e-05,-1.03256e-05
2e-05,-1.00449e-05
2e-05,-9.78104e-06
2e-05,-9.5304e-06
2e-05,-9.28571e-06
2e-05,-9.05129e-06
2e-05,-8.82887e-06
2e-05,-8.60867e-06
2e-05,-8.39502e-06
2e-05,-8.18607e-06
2e-05,-7.98277e-06
2e-05,-7.78884e-06
2e-05,-7.60069e-06
2e-05,-7.41094e-06
2e-05,-7.22993e-06
2e-05,-7.05605e-06
2e-05,-6.87972e-06
2e-05,-6.70953e-06
2e-05,-6.54042e-06
2e-05,-6.37396e-06
2e-05,-6.2144e-06
2e-05,-6.05959e-06
2e-05,-5.91547e-06
2e-05,-5.77298e-06
2e-05,-5.63109e-06
2e-05,-5.49193e-06
2e-05,-5.35691e-06
2e-05,-5.22124e-06
2e-05,-5.08395e-06
2e-05,-4.94996e-06
2e-05,-4.81786e-06
2e-05,-4.68512e-06
2e-05,-4.56835e-06
2e-05,-4.43903e-06
2e-05,-4.31009e-06
2e-05,-4.19127e-06
2e-05,-4.07107e-06
2e-05,-3.94768e-06
2e-05,-3.83613e-06
2e-05,-3.76528e-06
2e-05,-3.65325e-06
2e-05,-3.53379e-06
2e-05,-3.42158e-06
2e-05,-3.3077e-06
2e-05,-3.19477e-06
2e-05,-3.0786e-06
2e-05,-2.96893e-06
2e-05,-2.86031e-06
2e-05,-2.75033e-06
2e-05,-2.63769e-06
2e-05,-2.52678e-06
2e-05,-2.41702e-06
2e-05,-2.33003e-06
2e-05,-2.24886e-06
2e-05,-2.11376e-06
2e-05,-1.97063e-06
2e-05,-1.85178e-06
2e-05,-1.75489e-06
2e-05,-1.65041e-06
2e-05,-1.55036e-06
2e-05,-1.45391e-06
2e-05,-1.36866e-06
2e-05,-1.25487e-06
2e-05,-1.16137e-06
2e-05,-1.06698e-06
2e-05,-9.73209e-07
2e-05,-8.82257e-07
2e-05,-7.95804e-07
2e-05,-7.16195e-07
2e-05,-6.33252e-07
2e-05,-5.3459e-07
2e-05,-4.61708e-07
2e-05,-3.8271e-07
2e-05,-3.12137e-07
2e-05,-2.44219e-07
2e-05,-1.74407e-07
2e-05,-1.13442e-07
2e-05,-4.5077e-08
2e-05,1.79593e-08
2e-05,8.00986e-08
2e-05,1.40544e-07
2e-05,1.959e-07
2e-05,2.55482e-07
2e-05,2.63512e-07
2e-05,3.18663e-07
2e-05,3.8785e-07
2e-05,4.43378e-07
2e-05,5.01339e-07
2e-05,5.58922e-07
2e-05,6.20007e-07
2e-05,7.19625e-07
2e-05,7.13137e-07
2e-05,7.18644e-07
2e-05,8.24288e-07
2e-05,8.89653e-07
2e-05,9.43653e-07
2e-05,9.93111e-07
2e-05,1.04654e-06
2e-05,1.04371e-06
2e-05,1.15334e-06
2e-05,1.21909e-06
2e-05,1.26902e-06
2e-05,1.32099e-06
2e-05,1.37674e-06
2e-05,1.4389e-06
2e-05,1.47438e-06
2e-05,1.53882e-06
2e-05,1.59538e-06
2e-05,1.65002e-06
2e-05,1.70564e-06
2e-05,1.76362e-06
2e-05,1.81795e-06
2e-05,1.87399e-06
2e-05,1.92958e-06
2e-05,1.98677e-06
2e-05,2.04217e-06
2e-05,2.09723e-06
2e-05,2.15451e-06
2e-05,2.20986e-06
2e-05,2.26676e-06
2e-05,2.32497e-06
2e-05,2.37972e-06
2e-05,2.43705e-06
2e-05,2.49303e-06
2e-05,2.54985e-06
2e-05,2.60994e-06
2e-05,2.66657e-06
2e-05,2.72359e-06
2e-05,2.78283e-06
2e-05,2.84125e-06
2e-05,2.89963e-06
2e-05,2.95629e-06
2e-05,3.01503e-06
2e-05,3.07377e-06
2e-05,3.132e-06
2e-05,3.19078e-06
2e-05,3.25167e-06
2e-05,3.31097e-06
2e-05,3.36945e-06
2e-05,3.43473e-06
2e-05,3.49532e-06
2e-05,3.55689e-06
2e-05,3.61997e-06
2e-05,3.68251e-06
2e-05,3.74756e-06
2e-05,3.81428e-06
2e-05,3.88298e-06
2e-05,3.95409e-06
2e-05,4.02264e-06
2e-05,4.09537e-06
2e-05,4.16958e-06
2e-05,4.241e-06
2e-05,4.31701e-06
2e-05,4.39488e-06
2e-05,4.47241e-06
2e-05,4.55178e-06
2e-05,4.63504e-06
2e-05,4.72046e-06
2e-05,4.80458e-06
2e-05,4.89459e-06
2e-05,4.98642e-06
2e-05,5.07948e-06
2e-05,5.17642e-06
2e-05,5.27632e-06
2e-05,5.37886e-06
2e-05,5.48161e-06
2e-05,5.588e-06
2e-05,5.69577e-06
2e-05,5.80875e-06
2e-05,5.92371e-06
2e-05,6.04127e-06
2e-05,6.16122e-06
2e-05,6.28306e-06
2e-05,6.40932e-06
2e-05,6.53734e-06
2e-05,6.66866e-06
2e-05,6.80553e-06
2e-05,6.94378e-06
2e-05,7.08678e-06
2e-05,7.23244e-06
2e-05,7.37994e-06
2e-05,7.53321e-06
2e-05,7.69118e-06
2e-05,7.84808e-06
2e-05,8.0094e-06
2e-05,8.17289e-06
2e-05,8.33391e-06
2e-05,8.49846e-06
2e-05,8.67383e-06
2e-05,8.84384e-06
2e-05,9.01872e-06
2e-05,9.19267e-06
2e-05,9.36859e-06
2e-05,9.5534e-06
2e-05,9.74007e-06
2e-05,9.92439e-06
2e-05,1.01026e-05
2e-05,1.02932e-05
2e-05,1.04885e-05
2e-05,1.06741e-05
2e-05,1.08566e-05
2e-05,1.10398e-05
2e-05,1.12137e-05
2e-05,1.13963e-05
2e-05,1.15818e-05
2e-05,1.17667e-05
2e-05,1.19453e-05
2e-05,1.21196e-05
2e-05,1.22781e-05
2e-05,1.24275e-05
2e-05,1.26376e-05
2e-05,1.2821e-05
2e-05,1.29688e-05
2e-05,1.31466e-05
2e-05,1.3345e-05
2e-05,1.33914e-05
2e-05,1.35454e-05
2e-05,1.37436e-05
2e-05,1.39661e-05
2e-05,1.41241e-05
2e-05,1.42924e-05
2e-05,1.44234e-05
2e-05,1.452e-05
2e-05,1.45184e-05
2e-05,1.48182e-05
2e-05,1.50015e-05
2e-05,1.51647e-05
2e-05,1.5305e-05
2e-05,1.5455e-05
2e-05,1.56036e-05
2e-05,1.57309e-05
2e-05,1.58521e-05
2e-05,1.59915e-05
2e-05,1.61219e-05
2e-05,1.6254e-05
2e-05,1.63622e-05
2e-05,1.64733e-05
2e-05,1.66183e-05
2e-05,1.6726e-05
2e-05,1.68584e-05
2e-05,1.69998e-05
2e-05,1.71126e-05
2e-05,1.72268e-05
2e-05,1.73607e-05
2e-05,1.7475e-05
2e-05,1.75774e-05
2e-05,1.76965e-05
2e-05,1.78089e-05
2e-05,1.79065e-05
2e-05,1.80238e-05
2e-05,1.81256e-05
2e-05,1.82372e-05
2e-05,1.83612e-05
2e-05,1.8456e-05
2e-05,1.85649e-05
2e-05,1.86919e-05
2e-05,1.87945e-05
2e-05,1.88995e-05
2e-05,1.90084e-05
2e-05,1.91023e-05
2e-05,1.92005e-05
2e-05,1.93026e-05
2e-05,1.93925e-05
2e-05,1.94887e-05
2e-05,1.95983e-05
2e-05,1.9685e-05
2e-05,1.97872e-05
2e-05,1.98955e-05
2e-05,2.00074e-05
2e-05,2.01191e-05
2e-05,2.02287e-05
2e-05,2.0355e-05
2e-05,2.04877e-05
2e-05,2.06174e-05
2e-05,2.07475e-05
2e-05,2.08884e-05
2e-05,2.10447e-05
2e-05,2.12787e-05
2e-05,2.14579e-05
2e-05,2.16493e-05
2e-05,2.18545e-05
2e-05,2.20918e-05
2e-05,2.2313e-05
2e-05,2.25465e-05
2e-05,2.28205e-05
2e-05,2.31046e-05
2e-05,2.33597e-05
2e-05,2.3656e-05
2e-05,2.39378e-05
2e-05,2.42438e-05
2e-05,2.45422e-05
2e-05,2.48171e-05
2e-05,2.50982e-05
2e-05,2.53926e-05
2e-05,2.56362e-05
2e-05,2.59789e-05
2e-05,2.62434e-05
2e-05,2.64342e-05
2e-05,2.65737e-05
2e-05,2.66835e-05
2e-05,2.68434e-05
2e-05,2.70159e-05
2e-05,2.71473e-05
2e-05,2.73585e-05
2e-05,2.74311e-05
2e-05,2.7412e-05
2e-05,2.75855e-05
2e-05,2.77455e-05
2e-05,2.7875e-05
2e-05,2.80286e-05
2e-05,2.82891e-05
2e-05,2.82896e-05
2e-05,2.84309e-05
2e-05,2.84153e-05
2e-05,2.85493e-05
2e-05,2.86935e-05
2e-05,2.87483e-05
2e-05,2.88207e-05
2e-05,2.89669e-05
2e-05,2.91608e-05
2e-05,2.93402e-05
2e-05,2.94657e-05
2e-05,2.95982e-05
2e-05,2.98162e-05
2e-05,3.0108e-05
2e-05,3.02892e-05
2e-05,3.04412e-05
2e-05,3.05742e-05
2e-05,3.07706e-05
2e-05,3.09699e-05
2e-05,3.12635e-05
2e-05,3.15629e-05
2e-05,3.18134e-05
2e-05,3.21112e-05
2e-05,3.24385e-05
2e-05,3.28077e-05
2e-05,3.31218e-05
2e-05,3.34945e-05
2e-05,3.3918e-05
2e-05,3.43224e-05
2e-05,3.47515e-05
2e-05,3.51492e-05
2e-05,3.55753e-05
2e-05,3.5954e-05
2e-05,3.64065e-05
2e-05,3.6853e-05
2e-05,3.73263e-05
2e-05,3.7819e-05
2e-05,3.82301e-05
2e-05,3.87238e-05
2e-05,3.92305e-05
2e-05,3.97473e-05
2e-05,4.02756e-05
2e-05,4.07168e-05
2e-05,4.11597e-05
2e-05,4.16775e-05
2e-05,4.21921e-05
2e-05,4.27377e-05
2e-05,4.3256e-05
2e-05,4.37774e-05
2e-05,4.43324e-05
2e-05,4.48913e-05
2e-05,4.54799e-05
2e-05,4.60907e-05
2e-05,4.66844e-05
2e-05,4.72587e-05
2e-05,4.78286e-05
2e-05,4.84439e-05
2e-05,4.90936e-05
2e-05,4.97128e-05
2e-05,5.03406e-05
2e-05,5.09929e-05
2e-05,5.1624e-05
2e-05,5.23552e-05
2e-05,5.30891e-05
2e-05,5.38279e-05
2e-05,5.44652e-05
2e-05,5.51716e-05
2e-05,5.58587e-05
2e-05,5.65489e-05
2e-05,5.7261e-05
2e-05,5.79703e-05
2e-05,5.86835e-05
2e-05,5.94182e-05
2e-05,6.02167e-05
2e-05,6.10151e-05
2e-05,6.17553e-05
2e-05,6.25223e-05
2e-05,6.33743e-05
2e-05,6.41322e-05
2e-05,6.49336e-05
2e-05,6.57585e-05
2e-05,6.65128e-05
2e-05,6.72552e-05
2e-05,6.80868e-05
2e-05,6.89343e-05
2e-05,6.97606e-05
2e-05,7.0599e-05
2e-05,7.15192e-05
2e-05,7.2498e-05
2e-05,7.3383e-05
2e-05,7.43283e-05
2e-05,7.53349e-05
2e-05,7.62705e-05
2e-05,7.71824e-05
2e-05,7.81356e-05
2e-05,7.91307e-05
2e-05,8.01581e-05
2e-05,8.11965e-05
2e-05,8.23075e-05
2e-05,8.33794e-05
2e-05,8.44053e-05
2e-05,8.54592e-05
2e-05,8.65701e-05
2e-05,8.76197e-05
2e-05,8.87361e-05
2e-05,8.98367e-05
2e-05,9.08915e-05
2e-05,9.20056e-05
2e-05,9.31136e-05
2e-05,9.42132e-05
2e-05,9.5234e-05
2e-05,9.63978e-05
2e-05,9.75092e-05
2e-05,9.85791e-05
2e-05,9.96592e-05
2e-05,0.000100917
2e-05,0.000102097
2e-05,0.000103287
2e-05,0.000104453
2e-05,0.000105592
2e-05,0.000106688
2e-05,0.000107904
2e-05,0.000109109
2e-05,0.000110184
2e-05,0.000111364
2e-05,0.000112508
2e-05,0.000113614
2e-05,0.000114966
2e-05,0.000116105
2e-05,0.000117288
2e-05,0.000118578
2e-05,0.000119815
2e-05,0.000121133
2e-05,0.000122506
2e-05,0.000123762
2e-05,0.000125038
2e-05,0.000126462
2e-05,0.00012787
2e-05,0.000129157
2e-05,0.000130923
2e-05,0.000132561
2e-05,0.000133912
2e-05,0.00013464
2e-05,0.000136082
2e-05,0.000137654
2e-05,0.000139124
2e-05,0.000140455
2e-05,0.000141761
2e-05,0.00014329
2e-05,0.000145003
2e-05,0.000146555
2e-05,0.000148039
2e-05,0.000149765
2e-05,0.000150904
2e-05,0.000152466
2e-05,0.000154719
2e-05,0.000155959
2e-05,0.000157511
2e-05,0.000159209
2e-05,0.000160839
2e-05,0.000162384
2e-05,0.000163287
2e-05,0.000164441
2e-05,0.000166812
2e-05,0.000169303
2e-05,0.000170985
2e-05,0.000172646
2e-05,0.000174172
2e-05,0.000175879
2e-05,0.000177523
2e-05,0.000179231
2e-05,0.00018082
2e-05,0.000183873
2e-05,0.000185363
2e-05,0.000186314
2e-05,0.000187789
2e-05,0.000189762
2e-05,0.000187393
2e-05,0.000184698
2e-05,0.000182025
2e-05,0.0001797
2e-05,0.000177376
2e-05,0.000174996
2e-05,0.000172782
2e-05,0.000170561
2e-05,0.000168244
2e-05,0.00016578
2e-05,0.000163675
2e-05,0.000161419
2e-05,0.000159044
2e-05,0.000156719
2e-05,0.00015434
2e-05,0.000152239
2e-05,0.000149889
2e-05,0.000147817
2e-05,0.000145775
2e-05,0.000143569
2e-05,0.000141435
2e-05,0.00013943
2e-05,0.000137462
2e-05,0.000135474
2e-05,0.00013339
2e-05,0.000131167
2e-05,0.000129233
2e-05,0.000127321
2e-05,0.000125274
2e-05,0.000123274
2e-05,0.000121283
2e-05,0.000119308
2e-05,0.000117328
2e-05,0.000115359
2e-05,0.000113574
2e-05,0.000111669
2e-05,0.000109674
2e-05,0.000107977
2e-05,0.000106143
2e-05,0.000104232
2e-05,0.00010244
2e-05,0.000100738
2e-05,9.88718e-05
2e-05,9.7086e-05
2e-05,9.53828e-05
2e-05,9.36055e-05
2e-05,9.19389e-05
2e-05,9.01401e-05
2e-05,8.81934e-05
2e-05,8.65929e-05
2e-05,8.51143e-05
2e-05,8.34596e-05
2e-05,8.1781e-05
2e-05,8.01973e-05
2e-05,7.86129e-05
2e-05,7.70007e-05
2e-05,7.53776e-05
2e-05,7.34648e-05
2e-05,7.19755e-05
2e-05,7.05309e-05
2e-05,6.91667e-05
2e-05,6.78549e-05
2e-05,6.64156e-05
2e-05,6.49121e-05
2e-05,6.34114e-05
2e-05,6.19456e-05
2e-05,6.05564e-05
2e-05,5.91146e-05
2e-05,5.76715e-05
2e-05,5.62366e-05
2e-05,5.48424e-05
2e-05,5.3479e-05
2e-05,5.21368e-05
2e-05,5.08358e-05
2e-05,4.95425e-05
2e-05,4.8272e-05
2e-05,4.70076e-05
2e-05,4.58183e-05
2e-05,4.4625e-05
2e-05,4.33933e-05
2e-05,4.22035e-05
2e-05,4.105e-05
2e-05,3.99095e-05
2e-05,3.87853e-05
2e-05,3.77212e-05
2e-05,3.66168e-05
2e-05,3.5515e-05
2e-05,3.44623e-05
2e-05,3.34691e-05
2e-05,3.24135e-05
2e-05,3.14201e-05
2e-05,3.04658e-05
2e-05,2.949e-05
2e-05,2.85442e-05
2e-05,2.76511e-05
2e-05,2.67665e-05
2e-05,2.58913e-05
2e-05,2.50639e-05
2e-05,2.42557e-05
2e-05,2.37454e-05
2e-05,2.2779e-05
2e-05,2.1959e-05
2e-05,2.11897e-05
2e-05,2.04497e-05
2e-05,1.97488e-05
2e-05,1.90828e-05
2e-05,1.84026e-05
2e-05,1.77622e-05
2e-05,1.71561e-05
2e-05,1.65655e-05
2e-05,1.59833e-05
2e-05,1.54221e-05
2e-05,1.48964e-05
2e-05,1.43861e-05
2e-05,1.3884e-05
2e-05,1.34003e-05
2e-05,1.29454e-05
2e-05,1.25072e-05
2e-05,1.2075e-05
2e-05,1.16504e-05
2e-05,1.12503e-05
2e-05,1.08772e-05
2e-05,1.05194e-05
2e-05,1.01668e-05
2e-05,9.84085e-06
2e-05,9.52766e-06
2e-05,9.23065e-06
2e-05,8.93598e-06
2e-05,8.66982e-06
2e-05,8.40623e-06
2e-05,8.15654e-06
2e-05,7.90935e-06
2e-05,7.69108e-06
2e-05,7.47728e-06
2e-05,7.26395e-06
2e-05,7.06255e-06
2e-05,6.88122e-06
2e-05,6.70297e-06
2e-05,6.52561e-06
2e-05,6.36648e-06
2e-05,6.21861e-06
2e-05,6.17545e-06
2e-05,5.97002e-06
2e-05,5.80606e-06
2e-05,5.61665e-06
2e-05,5.51658e-06
2e-05,5.48546e-06
2e-05,5.33345e-06
2e-05,5.22532e-06
2e-05,5.11328e-06
2e-05,5.01223e-06
2e-05,4.91807e-06
2e-05,4.82832e-06
2e-05,4.73279e-06
2e-05,4.64542e-06
2e-05,4.56331e-06
2e-05,4.47908e-06
2e-05,4.4068e-06
2e-05,4.33816e-06
2e-05,4.28143e-06
2e-05,4.20772e-06
2e-05,4.12192e-06
2e-05,4.07245e-06
2e-05,3.99785e-06
2e-05,3.94391e-06
2e-05,3.82546e-06
2e-05,3.76999e-06
2e-05,3.70743e-06
2e-05,3.64776e-06
2e-05,3.59236e-06
2e-05,3.53919e-06
2e-05,3.49145e-06
2e-05,3.44892e-06
2e-05,3.38515e-06
2e-05,3.33686e-06
2e-05,3.30794e-06
2e-05,3.23501e-06
2e-05,3.20014e-06
2e-05,3.13869e-06
2e-05,3.09702e-06
2e-05,3.04291e-06
2e-05,3.00277e-06
2e-05,2.94715e-06
2e-05,2.9013e-06
2e-05,2.85208e-06
2e-05,2.80524e-06
2e-05,2.76167e-06
2e-05,2.72077e-06
2e-05,2.67728e-06
2e-05,2.63483e-06
2e-05,2.59459e-06
2e-05,2.54662e-06
2e-05,2.49864e-06
2e-05,2.4116e-06
2e-05,2.3845e-06
2e-05,2.34397e-06
2e-05,2.32282e-06
2e-05,2.34165e-06
2e-05,2.25875e-06
2e-05,2.20991e-06
2e-05,2.14164e-06
2e-05,2.06318e-06
2e-05,2.00671e-06
2e-05,1.96225e-06
2e-05,1.86239e-06
2e-05,1.91541e-06
2e-05,1.95635e-06
2e-05,1.90315e-06
2e-05,1.83615e-06
2e-05,1.75428e-06
2e-05,1.65127e-06
2e-05,1.61676e-06
2e-05,1.59778e-06
2e-05,1.52418e-06
2e-05,1.48591e-06
2e-05,1.43947e-06
2e-05,1.40351e-06
2e-05,1.35827e-06
2e-05,1.31485e-06
2e-05,1.27009e-06
2e-05,1.21363e-06
2e-05,1.15536e-06
2e-05,1.10309e-06
2e-05,1.03692e-06
2e-05,9.85266e-07
2e-05,9.28438e-07
2e-05,8.76304e-07
2e-05,8.27501e-07
2e-05,7.64847e-07
2e-05,7.09745e-07
2e-05,6.53216e-07
2e-05,5.96641e-07
2e-05,5.39085e-07
2e-05,4.83589e-07
2e-05,4.22137e-07
2e-05,3.67664e-07
2e-05,3.06976e-07
2e-05,2.46866e-07
2e-05,1.87027e-07
2e-05,1.22286e-07
2e-05,6.15419e-08
2e-05,-2.10017e-09
2e-05,-6.79736e-08
2e-05,-1.32009e-07
2e-05,-1.95372e-07
2e-05,-2.60636e-07
2e-05,-3.26653e-07
2e-05,-3.95849e-07
2e-05,-4.64385e-07
2e-05,-5.30878e-07
2e-05,-5.97744e-07
2e-05,-6.65154e-07
2e-05,-7.37519e-07
2e-05,-8.07201e-07
2e-05,-8.74819e-07
2e-05,-9.45728e-07
2e-05,-1.01494e-06
2e-05,-1.08809e-06
2e-05,-1.164e-06
2e-05,-1.23807e-06
2e-05,-1.31608e-06
2e-05,-1.3931e-06
2e-05,-1.46983e-06
2e-05,-1.55208e-06
2e-05,-1.63152e-06
2e-05,-1.70597e-06
2e-05,-1.78023e-06
2e-05,-1.85728e-06
2e-05,-1.93506e-06
2e-05,-2.02171e-06
2e-05,-2.09771e-06
2e-05,-2.17944e-06
2e-05,-2.27752e-06
2e-05,-2.35531e-06
2e-05,-2.44643e-06
2e-05,-2.54183e-06
2e-05,-2.62366e-06
2e-05,-2.71962e-06
2e-05,-2.81723e-06
2e-05,-2.93414e-06
2e-05,-3.03842e-06
2e-05,-3.14873e-06
2e-05,-3.25629e-06
2e-05,-3.37305e-06
2e-05,-3.50826e-06
2e-05,-3.61788e-06
2e-05,-3.74084e-06
2e-05,-3.86564e-06
2e-05,-3.99486e-06
2e-05,-4.13099e-06
2e-05,-4.26596e-06
2e-05,-4.3794e-06
2e-05,-4.53266e-06
2e-05,-4.68169e-06
2e-05,-4.83036e-06
2e-05,-4.98403e-06
2e-05,-5.13869e-06
2e-05,-5.3e-06
2e-05,-5.45946e-06
2e-05,-5.61694e-06
2e-05,-5.77758e-06
2e-05,-5.96277e-06
2e-05,-6.1361e-06
2e-05,-6.30673e-06
2e-05,-6.46945e-06
2e-05,-6.64492e-06
2e-05,-6.81114e-06
2e-05,-6.99435e-06
2e-05,-7.1863e-06
2e-05,-7.38221e-06
2e-05,-7.58104e-06
2e-05,-7.7826e-06
2e-05,-7.99853e-06
2e-05,-8.20672e-06
2e-05,-8.40069e-06
2e-05,-8.61371e-06
2e-05,-8.80674e-06
2e-05,-9.01301e-06
2e-05,-9.23033e-06
2e-05,-9.44497e-06
2e-05,-9.6656e-06
2e-05,-9.89873e-06
2e-05,-1.01351e-05
2e-05,-1.03682e-05
2e-05,-1.061e-05
2e-05,-1.08499e-05
2e-05,-1.10995e-05
2e-05,-1.13514e-05
2e-05,-1.1607e-05
2e-05,-1.18631e-05
2e-05,-1.21091e-05
2e-05,-1.23705e-05
2e-05,-1.26379e-05
2e-05,-1.29009e-05
2e-05,-1.31805e-05
2e-05,-1.34558e-05
2e-05,-1.37438e-05
2e-05,-1.40329e-05
2e-05,-1.43388e-05
2e-05,-1.46426e-05
2e-05,-1.49522e-05
2e-05,-1.52843e-05
2e-05,-1.56113e-05
2e-05,-1.59475e-05
2e-05,-1.62733e-05
2e-05,-1.66096e-05
2e-05,-1.6948e-05
2e-05,-1.73008e-05
2e-05,-1.76539e-05
2e-05,-1.80234e-05
2e-05,-1.83932e-05
2e-05,-1.87611e-05
2e-05,-1.91387e-05
2e-05,-1.95344e-05
2e-05,-1.99387e-05
2e-05,-2.0333e-05
2e-05,-2.07385e-05
2e-05,-2.1147e-05
2e-05,-2.15179e-05
2e-05,-2.19286e-05
2e-05,-2.23396e-05
2e-05,-2.27555e-05
2e-05,-2.3175e-05
2e-05,-2.35728e-05
2e-05,-2.39773e-05
2e-05,-2.44086e-05
2e-05,-2.48291e-05
2e-05,-2.52412e-05
2e-05,-2.56682e-05
2e-05,-2.61225e-05
2e-05,-2.6557e-05
2e-05,-2.69911e-05
2e-05,-2.74446e-05
2e-05,-2.78713e-05
2e-05,-2.83302e-05
2e-05,-2.88012e-05
2e-05,-2.92797e-05
2e-05,-2.97767e-05
2e-05,-3.02491e-05
2e-05,-3.07426e-05
2e-05,-3.12457e-05
2e-05,-3.1747e-05
2e-05,-3.22943e-05
2e-05,-3.28551e-05
2e-05,-3.34174e-05
2e-05,-3.40332e-05
2e-05,-3.46518e-05
2e-05,-3.52748e-05
2e-05,-3.59003e-05
2e-05,-3.6569e-05
2e-05,-3.72552e-05
2e-05,-3.79524e-05
2e-05,-3.86577e-05
2e-05,-3.93549e-05
2e-05,-4.00573e-05
2e-05,-4.0825e-05
2e-05,-4.15598e-05
2e-05,-4.23097e-05
2e-05,-4.30612e-05
2e-05,-4.38647e-05
2e-05,-4.46589e-05
2e-05,-4.54888e-05
2e-05,-4.6391e-05
2e-05,-4.73161e-05
2e-05,-4.81654e-05
2e-05,-4.9048e-05
2e-05,-5.00217e-05
2e-05,-5.09623e-05
2e-05,-5.19041e-05
2e-05,-5.29092e-05
2e-05,-5.389e-05
2e-05,-5.49812e-05
2e-05,-5.58152e-05
2e-05,-5.68428e-05
2e-05,-5.81185e-05
2e-05,-5.92851e-05
2e-05,-6.04603e-05
2e-05,-6.17412e-05
2e-05,-6.30771e-05
2e-05,-6.44496e-05
2e-05,-6.60336e-05
2e-05,-6.75933e-05
2e-05,-6.91602e-05
2e-05,-7.08088e-05
2e-05,-7.25527e-05
2e-05,-7.42952e-05
2e-05,-7.6002e-05
2e-05,-7.80009e-05
2e-05,-7.98456e-05
2e-05,-8.16694e-05
2e-05,-8.33713e-05
2e-05,-8.51809e-05
2e-05,-8.70999e-05
2e-05,-8.9012e-05
2e-05,-9.08781e-05
2e-05,-9.24476e-05
2e-05,-9.39195e-05
2e-05,-9.5726e-05
2e-05,-9.75228e-05
2e-05,-9.91721e-05
2e-05,-0.000100241
2e-05,-0.000101478
2e-05,-0.000102792
2e-05,-0.000103876
2e-05,-0.000105207
2e-05,-0.00010573
2e-05,-0.000106017
2e-05,-0.000106103
2e-05,-0.000105748
2e-05,-0.000104949
2e-05,-0.0001028
2e-05,-9.9976e-05
2e-05,-9.63264e-05
2e-05,-9.11757e-05
2e-05,-8.38285e-05
2e-05,-7.45223e-05
2e-05,-6.51227e-05
2e-05,-5.79891e-05
2e-05,-5.305e-05
2e-05,-4.9364e-05
2e-05,-4.65398e-05
2e-05,-4.43585e-05
2e-05,-4.25789e-05
2e-05,-4.09804e-05
2e-05,-3.95731e-05
2e-05,-3.84108e-05
2e-05,-3.73575e-05
2e-05,-3.63234e-05
2e-05,-3.54734e-05
2e-05,-3.47477e-05
2e-05,-3.40373e-05
2e-05,-3.33733e-05
2e-05,-3.27925e-05
2e-05,-3.23032e-05
2e-05,-3.16244e-05
2e-05,-3.13772e-05
2e-05,-3.08052e-05
2e-05,-3.04582e-05
2e-05,-3.00673e-05
2e-05,-2.9745e-05
2e-05,-2.9378e-05
2e-05,-2.90194e-05
2e-05,-2.87475e-05
2e-05,-2.84576e-05
2e-05,-2.81916e-05
2e-05,-2.79122e-05
2e-05,-2.76903e-05
2e-05,-2.7489e-05
2e-05,-2.72913e-05
2e-05,-2.70953e-05
2e-05,-2.69803e-05
2e-05,-2.68086e-05
2e-05,-2.66394e-05
2e-05,-2.65964e-05
2e-05,-2.64835e-05
2e-05,-2.63738e-05
2e-05,-2.63317e-05
2e-05,-2.62874e-05
2e-05,-2.62362e-05
2e-05,-2.62302e-05
2e-05,-2.624e-05
2e-05,-2.6253e-05
2e-05,-2.63114e-05
2e-05,-2.63925e-05
2e-05,-2.64495e-05
2e-05,-2.65285e-05
2e-05,-2.66464e-05
2e-05,-2.67423e-05
2e-05,-2.6844e-05
2e-05,-2.69715e-05
2e-05,-2.71201e-05
2e-05,-2.72728e-05
2e-05,-2.74392e-05
2e-05,-2.76322e-05
2e-05,-2.78121e-05
2e-05,-2.80047e-05
2e-05,-2.82264e-05
2e-05,-2.84285e-05
2e-05,-2.86033e-05
2e-05,-2.88136e-05
2e-05,-2.77838e-05
2e-05,-2.69542e-05
2e-05,-2.61827e-05
2e-05,-2.5497e-05
2e-05,-2.4859e-05
2e-05,-2.42475e-05
2e-05,-2.36891e-05
2e-05,-2.31451e-05
2e-05,-2.2609e-05
