concentration,E/V
2e-05,1.33402e-05
2e-05,1.35538e-05
2e-05,1.37614e-05
2e-05,1.3961e-05
2e-05,1.41568e-05
2e-05,1.43742e-05
2e-05,1.45887e-05
2e-05,1.47995e-05
2e-05,1.49917e-05
2e-05,1.51918e-05
2e-05,1.53963e-05
2e-05,1.56012e-05
2e-05,1.58064e-05
2e-05,1.60181e-05
2e-05,1.62031e-05
2e-05,1.63765e-05
2e-05,1.65739e-05
2e-05,1.67671e-05
2e-05,1.6952e-05
2e-05,1.71355e-05
2e-05,1.73347e-05
2e-05,1.74772e-05
2e-05,1.76646e-05
2e-05,1.78461e-05
2e-05,1.80263e-05
2e-05,1.81963e-05
2e-05,1.83756e-05
2e-05,1.85498e-05
2e-05,1.87142e-05
2e-05,1.88915e-05
2e-05,1.90641e-05
2e-05,1.92373e-05
2e-05,1.94095e-05
2e-05,1.95805e-05
2e-05,1.97991e-05
2e-05,1.99621e-05
2e-05,2.01331e-05
2e-05,2.03049e-05
2e-05,2.04697e-05
2e-05,2.06401e-05
2e-05,2.08117e-05
2e-05,2.09774e-05
2e-05,2.11459e-05
2e-05,2.13118e-05
2e-05,2.15199e-05
2e-05,2.16885e-05
2e-05,2.18494e-05
2e-05,2.20096e-05
2e-05,2.21706e-05
2e-05,2.23344e-05
2e-05,2.25045e-05
2e-05,2.2667e-05
2e-05,2.28289e-05
2e-05,2.29846e-05
2e-05,2.3142e-05
2e-05,2.32991e-05
2e-05,2.34589e-05
2e-05,2.36089e-05
2e-05,2.37589e-05
2e-05,2.39114e-05
2e-05,2.40665e-05
2e-05,2.42125e-05
2e-05,2.43619e-05
2e-05,2.45091e-05
2e-05,2.46684e-05
2e-05,2.48209e-05
2e-05,2.49725e-05
2e-05,2.51289e-05
2e-05,2.52982e-05
2e-05,2.54666e-05
2e-05,2.56352e-05
2e-05,2.58366e-05
2e-05,2.6023e-05
2e-05,2.62227e-05
2e-05,2.64307e-05
2e-05,2.66484e-05
2e-05,2.68799e-05
2e-05,2.71234e-05
2e-05,2.73608e-05
2e-05,2.76102e-05
2e-05,2.7896e-05
2e-05,2.8178e-05
2e-05,2.8463e-05
2e-05,2.87557e-05
2e-05,2.90599e-05
2e-05,2.93762e-05
2e-05,2.97004e-05
2e-05,3.00284e-05
2e-05,3.03847e-05
2e-05,3.07168e-05
2e-05,3.10374e-05
2e-05,3.13292e-05
2e-05,3.16099e-05
2e-05,3.18566e-05
2e-05,3.20849e-05
2e-05,3.22938e-05
2e-05,3.25017e-05
2e-05,3.26559e-05
2e-05,3.2801e-05
2e-05,3.29631e-05
2e-05,3.31018e-05
2e-05,3.32285e-05
2e-05,3.33618e-05
2e-05,3.35012e-05
2e-05,3.36428e-05
2e-05,3.3815e-05
2e-05,3.39924e-05
2e-05,3.41463e-05
2e-05,3.43373e-05
2e-05,3.45188e-05
2e-05,3.47605e-05
2e-05,3.50071e-05
2e-05,3.55243e-05
